hpo_id,hpo_label_2013,hpo_label_2017,alt_id,facial_congenital,hpoName,2017_to_2013_alt
HP:z999010,Mental Retardation NEGATIVE,,,,Mental Retardation NEGATIVE,
HP:z999016,Birth Weight NEGATIVE,,,,Birth Weight NEGATIVE,
HP:z999017,Current body length NEGATIVE,,,,Current body length NEGATIVE,
HP:z999018,hypotony NEGATIVE,,,,hypotony NEGATIVE,
HP:z999019,Head circumference NEGATIVE,,,,Head circumference NEGATIVE,
HP:0200044,Porokeratosis,Porokeratosis,,,Porokeratosis,
HP:0000001,All,All,,,All,
HP:0000002,Abnormality of body height,Abnormality of body height,,none,Abnormality of body height,
HP:0000003,Multicystic kidney dysplasia,Multicystic kidney dysplasia,HP:0004715,congenital abnormality,Multicystic kidney dysplasia,
HP:0000004,Onset and clinical course,,,,Onset and clinical course,
HP:0000005,Mode of inheritance,Mode of inheritance,HP:0001453HP:0001461,,Mode of inheritance,
HP:0000006,Autosomal dominant inheritance,Autosomal dominant inheritance,HP:0001415HP:0001447HP:0001448HP:0001451HP:0001455HP:0001456HP:0001463,none,Autosomal dominant inheritance,
HP:0000007,Autosomal recessive inheritance,Autosomal recessive inheritance,HP:0001416HP:0001526,none,Autosomal recessive inheritance,
HP:0000008,Abnormality of female internal genitalia,Abnormal morphology of female internal genitalia,,,Abnormality of female internal genitalia,
HP:0000009,Functional abnormality of the bladder,Functional abnormality of the bladder,HP:0004424HP:0008731,none,Functional abnormality of the bladder,
HP:0000010,Recurrent urinary tract infections,Recurrent urinary tract infections,HP:0000094,none,Recurrent urinary tract infections,
HP:0000011,Neurogenic bladder,Neurogenic bladder,,none,Neurogenic bladder,
HP:0000012,Urinary urgency,Urinary urgency,,none,Urinary urgency,
HP:0000013,Hypoplasia of the uterus,Hypoplasia of the uterus,HP:0001154HP:0008637,congenital abnormality,Hypoplasia of the uterus,
HP:0000014,Abnormality of the bladder,Abnormality of the bladder,,none,Abnormality of the bladder,
HP:0000015,Bladder diverticula,Bladder diverticulum,,none,Bladder diverticula,
HP:0000016,Urinary retention,Urinary retention,,none,Urinary retention,
HP:0000017,Nocturia,Nocturia,,none,Nocturia,
HP:0000018,Sphincter disturbance,,,,Sphincter disturbance,
HP:0000019,Urinary hesitancy,Urinary hesitancy,,,Urinary hesitancy,
HP:0000020,Urinary incontinence,Urinary incontinence,HP:0006942HP:0008681,none,Urinary incontinence,
HP:0000021,Lower urinary tract dilatation,Megacystis,HP:0002838,,Lower urinary tract dilatation,
HP:0000022,Abnormality of male internal genitalia,Abnormality of male internal genitalia,,congenital abnormality,Abnormality of male internal genitalia,
HP:0000023,Inguinal hernia,Inguinal hernia,,congenital abnormality,Inguinal hernia,
HP:0000024,Prostatitis,Prostatitis,,,Prostatitis,
HP:0000025,Functional abnormality of male internal genitalia,Functional abnormality of male internal genitalia,,,Functional abnormality of male internal genitalia,
HP:0000026,Male hypogonadism,Male hypogonadism,HP:0008649,none,Male hypogonadism,
HP:0000027,Azoospermia,Azoospermia,,none,Azoospermia,
HP:0000028,Cryptorchidism,Cryptorchidism,HP:0000797,congenital abnormality,Cryptorchidism,
HP:0000029,Testicular atrophy,Testicular atrophy,,,Testicular atrophy,
HP:0000030,Testicular gonadoblastoma,Testicular gonadoblastoma,,,Testicular gonadoblastoma,
HP:0000031,Epididymitis,Epididymitis,,none,Epididymitis,
HP:0000032,Abnormality of male external genitalia,Abnormality of male external genitalia,,congenital abnormality,Abnormality of male external genitalia,
HP:0000033,"Ambiguous genitalia, male","Ambiguous genitalia, male",,congenital abnormality,"Ambiguous genitalia, male",
HP:0000034,Hydrozele testis,Hydrocele testis,,congenital abnormality,Hydrozele testis,
HP:0000035,Abnormality of the testis,Abnormal testis morphology,,congenital abnormality,Abnormality of the testis,
